Surname,Name,Patronymic,Gender,BirthDate,Position,City,Address,Phone,Email
Рубець,Станіслав,Петрович,Male,1943-04-30,Кур'єр,село Семенівка,"площа Князя Ярослава Мудрого, буд. 402 кв. 1, Українськ, 37794",062 026-78-85,xmatiash@example.com
Олійник,Ігнат,Іванович,Male,2004-04-01,Адвокат,селище Василівка,"парк Зої Пасічної, буд. 9, Судак, 11701",+380 (71) 035-61-31,qholyk@example.org
Зінченко,Герман,Олегович,Male,2009-03-15,Слідчий,місто Ровеньки,"площа Ольги Благовидової, буд. 339 кв. 13, Підгайці, 57477",+380 (32) 027-46-26,leonid42@example.com
Гавриш,Марко,Васильович,Male,1978-11-16,Мовознавець,село Бар,"площа Проектований 3-й, буд. 27, Довжанськ, 21645",+380 (47) 970-33-56,kamilla80@example.com
Мазепа,Зорян,Сергійович,Male,2007-06-06,Геолог,село Горлівка,"площа Бузковий 2-й, буд. 9 кв. 92, Алушта, 05703",084 030-81-55,lizazakusylo@example.org
Савенко,Охрім,Олегович,Male,2008-03-06,Гінеколог,хутір Ромни,"проспект Лінія 55-та, буд. 9 кв. 563, Карлівка, 55392",+380 78 266-98-85,panas28@example.com
Малик,Миколай,Євгенович,Male,1985-12-18,Психолог,місто Покров,"шосе Литавровий, буд. 3 кв. 101, Путивль, 96885",+380 51 815-69-08,verkhovynetsmyroslav@example.org
Вернидуб,Антон,Дмитрович,Male,1993-12-06,Каскадер,хутір Чорноморськ,"парк Юрія Олеші, буд. 0, Березівка, 93936",+380 68 962-72-84,frants43@example.net
Лагода,Леонтій,Сергійович,Male,1999-09-03,Пілот,село Фастів,"узвіз Лузанівський 2-й, буд. 098 кв. 9, Шпола, 62566",+380 49 346-52-59,ytsisyk@example.org
Рудик,Ярема,Григорович,Male,1990-10-22,Євнух,місто Здолбунів,"набережна Ганни Ахматової, буд. 71, Мар'їнка, 76011",+380 46 420-53-73,kopytkovitalii@example.net
Бабійчук,Артем,Максимович,Male,1972-07-15,Флорист,селище Попасна,"провулок Гонсіоровського, буд. 52 кв. 752, Узин, 04057",+380 03 449 80 52,poltavetsarsen@example.com
Верменич,Андрій,Володимирович,Male,1991-05-09,Няня,селище Ровеньки,"сквер Ризька, буд. 5, Рава-Руська, 90591",+380 63 240-39-80,sofiia42@example.net
Вернигора,Герман,Євгенович,Male,1969-09-27,Стоматолог,хутір Болехів,"провулок Котляревського, буд. 4, Щастя, 70973",073 148 55 73,teodordzyndra@example.org
Даньків,Соломон,Іванович,Male,1967-12-05,Петрограф,хутір П'ятихатки,"вулиця Олександра Тимошенка, буд. 34, Снятин, 53541",+380 (71) 992-87-02,andriisahal@example.com
Чарниш,Устим,Романович,Male,1960-03-29,Слідчий,село Полтава,"вулиця Мацієвської узвіз, буд. 709, Тростянець, 16538",035 052 42 90,hstelmakh@example.org
Піддубна,Леопольд,Степанович,Male,2001-05-04,Фрілансер,село Боково-Хрустальне,"шосе Трудова, буд. 079 кв. 27, Ізяслав, 50572",016 964-04-66,ikarpa@example.org
Носаченко,Яків,Богданович,Male,1987-09-08,Епідеміолог,селище Буча,"узвіз узвіз Віталія Блажка, буд. 69 кв. 129, Новоград-Волинський, 90268",039 972 65 05,olhaskorobohatko@example.net
Саєнко,Олег,Іванович,Male,1939-04-16,Стоматолог,місто Тульчин,"проспект Грецька, буд. 378 кв. 54, Бар, 68982",+380 87 164-93-33,khomavlokh@example.com
Авраменко,Богдан,Богданович,Male,1938-02-19,Єгер,хутір Скадовськ,"узвіз Студентський 2-й, буд. 956, Здолбунів, 33291",400-80-82,hermanshelest@example.net
Матвієнко,Борис,Сергійович,Male,1980-10-04,Ґрунтознавець,селище Приморськ,"узвіз Сосюри, буд. 75, Турка, 21982",+380 20 847 93 46,kreva@example.com
Ільченко,Святослав,Григорович,Male,1943-02-05,Паралегал,селище Горлівка,"парк Василя Кандинського 5-й, буд. 35, Дубляни, 67729",079 292-87-93,ndeineko@example.com
Штепа,Вадим,Дмитрович,Male,1999-06-13,Професор,село Конотоп,"сквер Літній, буд. 15, Буча, 76555",+380 (37) 543-39-76,roksolana32@example.net
Чуйко,Леопольд,Ігорович,Male,1968-10-19,Менеджер,місто Остер,"набережна Оранжерейний, буд. 2, Моршин, 94951",314-88-38,tdutka@example.org
Туркало,Омелян,Степанович,Male,1971-12-24,Вчитель,село Краматорськ,"узвіз Квітковий, буд. 93 кв. 47, Павлоград, 67583",+380 (60) 425-02-45,makarpoltavets@example.org
Павленко,Пармен,Богданович,Male,1965-06-19,Нотаріус,село Берегове,"провулок Лузанівка, буд. 85, Олешки, 95338",+380 (26) 351-74-76,olhachaban@example.org
Архимович,Віталій,Дмитрович,Male,1994-01-08,Геолог,хутір Білгород-Дністровський,"площа Романтиків, буд. 98, Борислав, 82842",+380 (44) 654-43-24,ivanpalii@example.org
Бабійчук,Соломон,Ігорович,Male,1942-01-02,Хореограф,хутір Щастя,"парк Сергія Коновалова, буд. 506, Світлодарськ, 48006",402-24-85,andreikoavrelii@example.com
Засенко,Гліб,Степанович,Male,1994-10-10,Живописець,селище Скадовськ,"проспект Садовського, буд. 9, Косів, 89173",+380 24 080-72-27,zhuchenkoihnat@example.com
Опанасенко,Володимир,Дмитрович,Male,1979-04-24,Режисер,селище Петрово-Красносілля,"провулок Сирітський, буд. 386, Тернівка, 78738",+380 52 082-41-82,medvedenkoadam@example.org
Данчук,Мартин,Романович,Male,1966-12-19,М'ясник,хутір Кролевець,"провулок Чорноморський, буд. 315, Генічеськ, 28503",026 542 08 47,derehussymon@example.net
Пʼятаченко,Дмитро,Миколайович,Male,1952-06-15,Менеджер,місто Андрушівка,"узвіз Сумський, буд. 5 кв. 260, Феодосія, 13248",068 330-52-80,msymonenko@example.net
Цимбал,Гордій,Дмитрович,Male,1966-08-04,Хореограф,село Городок,"площа Книжковий, буд. 48, Новомиргород, 84982",737 18 53,avreliibabarychenko@example.org
Лавренко,Леопольд,Володимирович,Male,1959-09-23,Ветеринар,селище Зеленодольськ,"сквер Краснослобідський, буд. 302, Винники, 63953",000 569 50 59,eduardriaboshapka@example.com
Шеремета,Демид,Ярославович,Male,1994-11-05,Клавішник,село Кременчук,"парк Богдана Хмельницького, буд. 999 кв. 9, Новоград-Волинський, 40717",598 38 05,shvedchenkosemen@example.net
Романчук,Пантелеймон,Петрович,Male,1946-12-16,Електрик,селище Глухів,"набережна Депутатський, буд. 048, Бахмут, 33056",021 478-70-10,velychkoviacheslav@example.org
Петрик,Тарас,Андрійович,Male,1985-12-27,Кухар,хутір Курахове,"вулиця Лінія 52-га, буд. 2, Мирноград, 62177",689-92-98,omelianbabii@example.org
Вовк,Руслан,Іванович,Male,1982-02-05,Кінорежисер,село Теплодар,"вулиця Восьмого березня 3-й, буд. 089, Харцизьк, 56941",499-21-88,semenzubko@example.net
Удовенко,Кирило,Юрійович,Male,1995-09-23,Електромонтер,селище Бобринець,"шосе Ірини Жиленко, буд. 5 кв. 03, Алмазна, 27184",080 078-55-14,weibozhenko@example.org
Масоха,Лесь,Богданович,Male,1950-01-23,Дипломат,місто Красноперекопськ,"узвіз Коцюбинського, буд. 240, Липовець, 79205",302 78 21,romanhaievskyi@example.org
Дуплій,Аарон,Іванович,Male,1939-01-27,Слідчий,хутір Хирів,"вулиця Алмазна, буд. 560, Очаків, 97151",214-23-26,fsavenko@example.net
Джус,Миколай,Олегович,Male,1944-03-11,Ріелтор,селище Дубровиця,"вулиця 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 301 кв. 280, Добромиль, 15033",047 680 77 59,eduard96@example.org
Комар,Давид,Романович,Male,1968-04-10,Флорист,селище Збараж,"парк Балтський 4-й, буд. 0 кв. 0, Хоростків, 75086",+380 67 244 01 63,hennadiihuz@example.com
Семенченко,Святослав,Євгенович,Male,1989-09-18,Клавішник,село Саки,"вулиця Цегельнозаводська, буд. 5 кв. 87, Заставна, 08361",410-42-41,heorhii13@example.com
Гаврилишина,Устим,Андрійович,Male,1988-12-28,Ботанік,селище Судак,"узвіз Сергія Шелухина, буд. 466, Суходільськ, 57913",+380 36 304 15 81,anestaiko@example.com
Гаврилишин,Ярослав,Сергійович,Male,1998-01-06,Нотаріус,місто Снятин,"набережна 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 06, Гайсин, 72878",+380 94 051-19-22,iustymatamaniuk@example.net
Батіг,Трохим,Григорович,Male,1979-06-12,Публіцист,місто Ромни,"набережна Суперфосфатна, буд. 59 кв. 2, Охтирка, 10631",+380 78 651-59-58,nkopytko@example.com
Комар,Георгій,Євгенович,Male,1955-09-26,Круп'є,хутір Кропивницький,"площа Олексіївська, буд. 791, Олександрівськ, 82212",105 48 57,viktor27@example.com
Луценко,Володимир,Миколайович,Male,1999-08-08,Намотувальник,село Сіверськ,"проспект Бузковий 2-й, буд. 3, Хмельницький, 90240",060 363-31-47,tavramenko@example.org
Шведченко,Соломон,Романович,Male,1947-11-17,Модель,місто Хмільник,"проспект Кропивницького, буд. 8 кв. 11, Святогірськ, 87380",+380 11 418-83-58,klymentkopytko@example.net
Туркало,Марко,Володимирович,Male,1939-08-20,Астрофізик,селище Львів,"набережна Пересипський 1-й, буд. 31 кв. 660, Нікополь, 49809",+380 (81) 370-09-15,biurchenko@example.net
Іщак,Яків,Євгенович,Male,1987-02-02,Пекар,місто Бахмут,"проспект Тополиний, буд. 789 кв. 30, Лозова, 18217",+380 83 292 98 26,artemzakharenko@example.org
Бабиченко,Тимофій,Петрович,Male,1990-05-07,Кур'єр,хутір Мелітополь,"вулиця Кустанайський 2-й, буд. 505 кв. 0, Трускавець, 17076",+380 75 465-08-81,mykhailynadanko@example.org
Яценюк,Борислав,Сергійович,Male,1985-10-03,Інженер,селище Середина-Буда,"шосе Докова, буд. 3, Снятин, 57666",+380 (50) 030-87-71,zakhar30@example.com
Єременко,Хома,Олександрович,Male,1942-07-14,Пекар,хутір Біла Церква,"провулок Гіацинтовий, буд. 6, Шахтарське, 81710",+380 19 770-36-73,avhustyn99@example.com
Червоненко,Дмитро,Іванович,Male,1948-05-03,Композитор,місто Новодністровськ,"провулок Лиманчик 2-й Лінія 1-ша, буд. 171 кв. 37, Апостолове, 32417",+380 (05) 924-73-90,opanashohol@example.org
Артеменко,Степан,Володимирович,Male,1999-06-22,Географ,місто Горохів,"площа Розкидайлівська, буд. 32, Міусинськ, 18441",067 55 87,hodunokkyrylo@example.com
Христенко,Орест,Євгенович,Male,1938-06-05,Ді-джей,місто Київ,"парк Кощового отамана, буд. 9, Соснівка, 38867",024 077-08-49,ceibozhenko@example.net
Міщенко,Соломон,Богданович,Male,1957-10-06,Бібліограф,місто Гайсин,"провулок Володимира Антоновича, буд. 999 кв. 9, Донецьк, 82699",001 395-27-85,nadiia59@example.com
Іщенко,Аарон,Олегович,Male,1990-04-08,Музичний редактор,селище Білогірськ,"сквер Північний, буд. 870 кв. 473, Харків, 31484",+380 11 578-82-53,havriushenkoihor@example.net
Бабариченко,Віталій,Ігорович,Male,1963-12-09,Гірничий інженер,місто Бахчисарай,"площа Фабрична, буд. 5, Золоте, 06906",048 249 45 08,matviienkoirena@example.com
Вертипорох,Євген,Григорович,Male,1948-06-24,Клоун,село Бердянськ,"узвіз Ждахи, буд. 8 кв. 6, Шептицький, 64022",+380 61 508-69-54,iakymenkozlatoslava@example.org
Христич,Устим,Олегович,Male,2004-02-02,Скульптор,хутір Яремче,"провулок Ветеранів праці, буд. 64, Тлумач, 15685",+380 58 948 60 48,xoliinyk@example.org
Артимишин,Георгій,Олегович,Male,1984-11-29,Кінолог,місто Пологи,"шосе Шполянська, буд. 2, Підгородне, 73726",+380 (63) 114-85-52,boryskopytko@example.com
Забарна,Азар,Ярославович,Male,1991-06-07,Стоматолог,хутір Андрушівка,"парк Університетський, буд. 629, Дружківка, 16904",+380 43 949 58 56,iaryna53@example.org
Затовканюк,Єлисей,Олегович,Male,1993-09-06,Науковець,селище Білгород-Дністровський,"площа Західний 4-й, буд. 530, Буринь, 77201",+380 (76) 481-13-29,iaremenkodaryna@example.com
Гоголь-Яновська,Йосип,Юрійович,Male,1944-03-10,Піаніст,село Запоріжжя,"площа Михайлівська, буд. 6 кв. 64, Рожище, 99861",+380 02 519-68-24,iaremanazar@example.com
Андріїшин,Тарас,Арсенович,Male,1965-07-27,Юрист,місто Ворожба,"вулиця Шебелінський, буд. 24 кв. 183, Добропілля, 84715",+380 00 527-82-23,onysym46@example.org
Назаренко,Панас,Іванович,Male,2009-06-10,Флорист,місто Боярка,"шосе Хаджибейська дорога, буд. 5 кв. 5, Мерефа, 21498",059 790-69-62,lazarenkovolodymyr@example.org
Єрошенко,Олександр,Богданович,Male,1980-06-13,Петрограф,хутір Федорівка,"узвіз 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 89, Яремче, 37663",017 132 04 14,kostiantyn54@example.net
Ярема,Іван,Васильович,Male,1961-01-01,Редактор,хутір Буринь,"площа Радіальний, буд. 89 кв. 9, Стрий, 54513",061 583 00 26,opanasvalenko@example.org
Скоробогатько,Вʼячеслав,Андрійович,Male,1941-02-16,Реставратор,селище Белз,"проспект Костанді, буд. 3 кв. 6, Тисмениця, 41510",+380 12 040-45-46,emiliiahuk@example.net
Скирда,Олександр,Григорович,Male,1976-08-19,Різноробочий,хутір Антрацит,"шосе Артилерійський 2-й, буд. 6 кв. 6, Нововолинськ, 41775",+380 (38) 882-54-30,savenkoandrii@example.net
Дубас,Кирило,Григорович,Male,1990-04-30,Живописець,хутір Бахмут,"сквер Карантинний узвіз, буд. 5, Ірпінь, 67925",+380 58 327-84-19,prymachenkotereza@example.org
Засуха,Олесь,Сергійович,Male,1985-06-24,Художник,село Горішні Плавні,"площа Елеваторна, буд. 0 кв. 425, Радомишль, 41922",+380 (63) 575-55-38,uatamanchuk@example.org
Давиденко,Вадим,Романович,Male,1967-03-17,Бібліограф,селище Рені,"провулок Політкаторжан, буд. 5, Щастя, 09811",+380 86 110-65-50,arsenhuz@example.org
Джунь,Валентин,Олегович,Male,1982-03-15,Гицель,селище Костянтинівка,"вулиця Аеропортівський 3-й, буд. 6 кв. 7, Моршин, 46685",758-19-30,kovpakillia@example.net
Сацюк,Іван,Романович,Male,1980-05-29,Живописець,селище Жмеринка,"проспект Верхня, буд. 08, Сквира, 72155",+380 (16) 288-10-24,opanassliusar@example.org
Перепелиця,Дан,Романович,Male,1971-03-29,Громадський діяч,місто Татарбунари,"парк Вірського, буд. 32 кв. 720, Новодністровськ, 11931",+380 70 600 64 99,viacheslav60@example.org
Ірванець,Макар,Петрович,Male,1944-04-25,Промисловець,селище Амвросіївка,"узвіз Олександра Кошиця, буд. 85, Вараш, 68010",+380 14 015-42-55,petropalii@example.org
Сич,Леопольд,Володимирович,Male,2003-12-08,Державний службовець,місто Залізне,"набережна Кустанайський 2-й, буд. 58, Калуш, 16261",651-05-65,valentyn33@example.net
Засядько,Олекса,Богданович,Male,1965-07-10,Круп'є,хутір Бахмут,"провулок Персикова, буд. 472, Горішні Плавні, 52911",+380 (14) 324-27-26,serhiiovcharenko@example.com
Шаповал,Августин,Сергійович,Male,2002-09-30,М'ясник,селище Антрацит,"узвіз Заможна, буд. 98 кв. 48, Новоград-Волинський, 46785",614 27 32,vashchukhavrylo@example.com
Цюцюра,Леонтій,Богданович,Male,1951-03-11,Ґрунтознавець,селище Хмельницький,"узвіз Заводська 5-та, буд. 807, Каховка, 37056",+380 01 897-87-93,spas88@example.com
Архипенко,Панас,Григорович,Male,1939-01-10,Геофізик,селище Косів,"вулиця Олега Андрійця, буд. 4 кв. 657, Ковель, 50036",074 713-52-63,mhohol@example.com
Червоненко,Степан,Олександрович,Male,1965-03-04,Соціолог,селище Гребінка,"площа Севастопольський, буд. 189 кв. 4, Чуднів, 97036",709 36 22,masliakavhustyn@example.com
Рудик,Богуслав,Арсенович,Male,1980-09-04,Ветеринар,селище Білозерське,"вулиця Сотника Лугіна, буд. 029 кв. 02, Ромни, 80913",+380 70 995 36 71,viktorishchenko@example.com
Ісаєвич,Онисим,Григорович,Male,1940-08-13,Географ,місто Василівка,"проспект Раїси Сергієнко, буд. 325, Керч, 37483",018 176 26 71,varvaralysenko@example.org
Затула,Святослав,Андрійович,Male,2009-06-27,Паралегал,село Липовець,"сквер Хутірська, буд. 7 кв. 7, Ковель, 58888",+380 72 465-55-88,panasparasiuk@example.org
Бабко,Борис,Степанович,Male,1986-04-04,Фермер,село Дергачі,"парк Український 3-й, буд. 324 кв. 41, Брянка, 59154",340 35 29,artemmasokha@example.com
Левченко,Леопольд,Ігорович,Male,2000-02-07,Скульптор,селище Мукачево,"узвіз Лінія 32-га, буд. 373, Ірміно, 63070",044 074 53 92,haidenkozlatoslava@example.com
Ґоляш,Охрім,Сергійович,Male,1940-10-30,Соціолог,селище Тячів,"проспект Пастера, буд. 20 кв. 8, Прип'ять, 80814",+380 07 036 70 72,alevtynopanasenko@example.net
Ляшко,Ярема,Євгенович,Male,1982-03-15,Дантист,хутір Вашківці,"проспект Інглезі, буд. 66, Ічня, 01957",+380 03 620-27-38,odarka50@example.org
Дробʼязко,Степан,Ярославович,Male,1983-02-27,Кухар,селище Устилуг,"шосе Дубовий гай, буд. 385, Герца, 81621",024 186-63-41,danylo43@example.com
Єрошенко,Азар,Арсенович,Male,1970-11-17,Диригент,хутір Олешки,"проспект Мазепи Івана, буд. 34 кв. 7, Мукачево, 22516",036 134 58 47,zasiadkonadiia@example.org
Корж,Леон,Володимирович,Male,2007-02-28,Доцент,місто Рубіжне,"провулок Бузковий, буд. 319, Вільногірськ, 86159",012 701-00-52,iakymchukvira@example.net
Артимишин,Олесь,Юрійович,Male,1953-04-29,Електрик,селище Антрацит,"площа Улицька, буд. 54 кв. 5, Новоград-Волинський, 07807",088 485 78 70,jazhazha@example.net
Ващенко-Захарченко,Валерій,Юрійович,Male,1947-05-12,Фотограф,місто Кропивницький,"набережна Лінія 40-ва, буд. 3 кв. 577, Рубіжне, 86840",591 33 79,shyianavrelii@example.org
Даниленко,Аарон,Юрійович,Male,1996-06-09,Фізик,село Заставна,"узвіз Амундсена, 3-й, буд. 805, Теребовля, 90945",034 826-04-81,semen33@example.org
Шеремет,Владислав,Романович,Male,1983-04-05,Письменник,селище Українськ,"набережна Флотський 2-й, буд. 2, Джанкой, 68459",+380 (63) 629-12-46,cskorobohatko@example.net
Гуцуляк,Богдан,Васильович,Male,2004-04-06,Мінералог,місто Єнакієве,"узвіз Морський 2-й, буд. 635 кв. 196, Лебедин, 68462",+380 57 505-57-32,perebyinisiustym@example.com
Яценюк,Григорій,Григорович,Male,1998-07-15,Головний меркшейдер,хутір Дніпрорудне,"провулок Любомира Гузара, буд. 27, Рені, 77082",004 464-81-98,marynacharnysh@example.org
Демʼянчук,Леон,Степанович,Male,1939-07-05,Хімік,село Рахів,"сквер Миколи Міхновського, буд. 2 кв. 909, Теребовля, 10497",+380 (18) 572-42-28,priabovil@example.org
Шахрай,Зорян,Сергійович,Male,1981-06-03,Гінеколог,село Жашків,"проспект Овідіопольська дорога, буд. 73 кв. 25, Луганськ, 89031",+380 04 481-04-11,orysiakashchenko@example.org
Батюк,Йосип,Володимирович,Male,1969-06-08,Няня,селище Березань,"набережна Юрія Коваленка, буд. 00 кв. 9, Рава-Руська, 13290",+380 59 506 37 16,viaremkiv@example.com
Сірченко,Андрій,Арсенович,Male,1982-08-18,Педагог,село Теребовля,"проспект Добровольців, буд. 171, Соснівка, 55878",+380 70 533-77-50,leskadeniuk@example.com
Влох,Юстим,Сергійович,Male,1950-03-05,Геофізик,хутір Отаманівка,"провулок Водопровідний 3-й, буд. 77, Слов'янськ, 38028",068 013 78 90,shakhraiiryna@example.com
Ващенко-Захарченко,Франц,Григорович,Male,1943-05-07,Антрополог,місто Великі Мости,"парк Дубова, буд. 5, Андрушівка, 01463",+380 (74) 987-05-63,mykhailynaievtushok@example.org
Чала,Демид,Степанович,Male,1962-11-03,Менеджер,село Скалат,"проспект Хаджибейський 1-й, буд. 44, Ужгород, 88494",+380 52 868-12-76,bevzmarko@example.org
Микитюк,Орхип,Васильович,Male,1972-05-10,Електромонтер,хутір Знам'янка,"набережна Хаджибейський 3-й, буд. 8, Підгородне, 79722",080 477-50-79,artemavramchuk@example.net
Микитюк,Станіслав,Петрович,Male,1958-11-02,Каскадер,селище Покров,"парк Шостої 2-й, буд. 60 кв. 93, Охтирка, 15988",092 383-89-14,nkalchenko@example.org
Каденюк,Макар,Олегович,Male,1970-03-02,Клоун,місто Новоукраїнка,"вулиця Віктора Скаржинського узвіз, буд. 19 кв. 669, Бахмач, 25315",556 75 54,hordii53@example.net
Сиротенко,Аарон,Дмитрович,Male,1960-08-18,Археолог,селище Саки,"узвіз Хаджибейський 3-й, буд. 665, Деражня, 51374",+380 (99) 194-80-07,arsenhabelko@example.net
Затовканюк,Адам,Степанович,Male,1987-10-01,Бібліотекар,село Хирів,"площа Житомирська, буд. 751, Долинська, 99719",052 665-97-73,davydenkotetiana@example.net
Ващенко,Кирило,Романович,Male,1973-11-24,Бібліотекар,село Білопілля,"проспект Стельмаха, буд. 648 кв. 1, Радивилів, 75019",+380 87 587 45 77,kolisnychenkopylyp@example.org
Негода,Пармен,Петрович,Male,2000-10-08,Футболіст,місто Сквира,"провулок Сирітський, буд. 2 кв. 097, Долинська, 27423",146 56 66,xshvachko@example.com
Романчук,Марко,Арсенович,Male,1969-03-20,Євнух,місто Переяслав,"площа Умова, буд. 1 кв. 499, Бар, 55125",+380 09 581 19 23,zasenkoeduard@example.org
